"Mindst fire overnatninger";"Belgien";..;..;..;..;..;..;..;..;..;..;..;1;..;..;1;..;1;..;0;0;1;0;1
"Mindst fire overnatninger";"Bulgarien";..;..;..;..;..;..;2;1;1;1;1;1;1;1;..;1;1;2;1;1;1;0;0
"Mindst fire overnatninger";"Cypern";..;..;..;..;..;..;..;..;..;..;..;..;..;1;..;1;1;1;1;2;1;0;1
"Mindst fire overnatninger";"Estland";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0
"Mindst fire overnatninger";"Finland";..;..;..;..;..;..;..;..;..;..;..;..;1;..;..;..;..;..;0;1;1;0;0
"Mindst fire overnatninger";"Frankrig";13;12;11;8;10;9;9;9;7;6;8;6;7;6;8;6;5;5;5;4;5;6;7
"Mindst fire overnatninger";"Færøerne";..;..;..;..;..;..;..;..;..;..;..;..;..;1;1;1;1;..;1;1;2;1;1
"Mindst fire overnatninger";"Grækenland";9;8;4;3;5;6;6;5;5;5;6;5;4;6;5;5;7;8;6;4;11;8;7
"Mindst fire overnatninger";"Grønland";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;1;1;0;0
"Mindst fire overnatninger";"Irland";..;..;..;..;..;..;..;..;..;..;..;..;1;..;1;..;1;..;1;0;0;1;1
"Mindst fire overnatninger";"Island";..;..;..;..;..;..;..;..;..;..;..;..;..;1;1;..;1;..;1;1;1;1;1
"Mindst fire overnatninger";"Italien";8;10;4;6;8;9;10;8;10;7;9;8;10;10;7;10;8;10;7;7;11;10;12
"Mindst fire overnatninger";"Letland";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1;0;0;0;0;0
"Mindst fire overnatninger";"Litauen";..;..;..;..;..;..;..;..;..;..;..;..;1;..;..;..;1;..;0;1;1;1;0
"Mindst fire overnatninger";"Luxembourg";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0
"Mindst fire overnatninger";"Malta";..;..;..;..;..;..;..;..;..;..;..;1;1;..;1;1;..;1;1;1;0;1;1
"Mindst fire overnatninger";"Nederlandene";..;..;..;..;..;..;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1
"Mindst fire overnatninger";"Polen";1;1;3;..;..;..;1;2;..;2;1;1;3;1;1;2;2;3;2;2;2;1;1
"Mindst fire overnatninger";"Portugal";2;1;2;..;..;..;1;2;1;2;1;1;2;..;2;1;2;2;1;1;3;2;3
"Mindst fire overnatninger";"Rumænien";..;..;..;..;..;..;..;..;..;..;..;..;..;1;..;..;1;1;0;0;0;0;0
"Mindst fire overnatninger";"Rusland";..;..;..;..;..;..;..;..;..;..;..;..;..;1;..;..;..;..;0;0;0;0;0
"Mindst fire overnatninger";"Schweiz";..;..;..;..;..;..;..;1;2;..;1;..;1;..;1;..;..;..;0;1;1;1;1
"Mindst fire overnatninger";"Slovakiet";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0
"Mindst fire overnatninger";"Slovenien";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0
"Mindst fire overnatninger";"Spanien";13;13;13;16;13;12;13;13;16;13;16;15;14;15;16;18;18;17;20;14;22;19;18
"Mindst fire overnatninger";"Storbritannien";4;3;4;4;5;5;3;5;4;4;3;4;5;4;4;5;4;3;1;2;2;3;3
"Mindst fire overnatninger";"Sverige";7;7;11;5;7;7;8;8;8;9;7;8;6;6;5;6;7;5;4;11;9;7;5
"Mindst fire overnatninger";"Norge";7;7;5;4;6;6;5;6;6;7;5;4;4;5;5;5;5;2;6;11;4;6;5
"Mindst fire overnatninger";"Tjekkiet";3;2;2;..;..;..;2;2;1;2;1;2;1;1;1;..;1;1;1;0;0;2;1
"Mindst fire overnatninger";"Tyrkiet";3;6;3;5;7;4;4;4;4;6;5;7;7;5;5;3;3;4;4;1;2;5;3
"Mindst fire overnatninger";"Tyskland";6;4;11;13;6;7;8;8;7;8;7;8;8;8;9;8;7;6;11;6;8;7;7
"Mindst fire overnatninger";"Ukraine";..;..;..;..;..;..;..;..;..;..;..;..;1;..;..;..;..;1;0;0;0;0;0
"Mindst fire overnatninger";"Ungarn";..;..;..;..;..;..;1;1;1;..;1;2;..;1;1;1;1;1;0;0;1;1;1
"Mindst fire overnatninger";"Østrig";4;3;3;3;4;5;5;5;5;6;3;4;5;4;4;4;3;3;4;6;2;3;4
"Mindst fire overnatninger";"Europa i øvrigt";8;8;10;..;..;..;..;..;..;..;..;..;2;2;..;3;2;2;2;1;4;2;2
"Mindst fire overnatninger";"Sydafrika";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1;..;..;0;0;0;0;0
"Mindst fire overnatninger";"Afrika uden Sydafrika";2;2;1;..;..;..;..;2;1;3;2;1;2;1;..;2;..;2;1;2;1;2;3
"Mindst fire overnatninger";"Brasilien";..;..;..;..;..;..;..;..;..;..;..;1;..;..;..;1;..;..;0;0;0;0;1
"Mindst fire overnatninger";"Canada";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1;0;0;0;0;1
"Mindst fire overnatninger";"USA";3;2;3;..;..;..;3;5;3;3;4;5;4;4;3;4;4;4;4;1;0;2;2
"Mindst fire overnatninger";"Syd- og Mellemamerika uden Brasilien";..;..;..;..;..;..;..;..;..;..;..;..;1;1;..;1;..;..;1;0;0;0;1
"Mindst fire overnatninger";"Indien";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1;..;0;0;0;0;1
"Mindst fire overnatninger";"Japan";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1;0;0;0;0;1
"Mindst fire overnatninger";"Kina";..;..;..;..;..;..;1;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0
"Mindst fire overnatninger";"Sydkorea";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0
"Mindst fire overnatninger";"Thailand";..;..;..;..;..;..;2;1;2;2;3;2;2;3;2;2;3;1;2;5;0;0;2
"Mindst fire overnatninger";"Asien uden Kina, Japan, Sydkorea, Indien og Thailand";3;4;6;..;..;..;..;..;..;..;..;..;1;1;..;3;2;..;3;3;1;2;2
"Mindst fire overnatninger";"Australien";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1;1;1;0;2;0;0;0
